This is the 1st data: 0 	 | This is 2nd data: 72.69425960014344 	 end
This is the 1st data: 1 	 | This is 2nd data: 70.37957354172939 	 end
This is the 1st data: 2 	 | This is 2nd data: 18.181608365004255 	 end
This is the 1st data: 3 	 | This is 2nd data: 84.51329846466776 	 end
This is the 1st data: 4 	 | This is 2nd data: 8.935147941737654 	 end
This is the 1st data: 5 	 | This is 2nd data: 93.30637968465271 	 end
This is the 1st data: 6 	 | This is 2nd data: 76.66407997793375 	 end
This is the 1st data: 7 	 | This is 2nd data: 73.81301326213686 	 end
This is the 1st data: 8 	 | This is 2nd data: 74.03656575455392 	 end
This is the 1st data: 9 	 | This is 2nd data: 1.4878643463292152 	 end
This is the 1st data: 10 	 | This is 2nd data: 34.303824973759575 	 end
This is the 1st data: 11 	 | This is 2nd data: 22.874709052474795 	 end
This is the 1st data: 12 	 | This is 2nd data: 66.70065282678806 	 end
This is the 1st data: 13 	 | This is 2nd data: 21.357373494364683 	 end
This is the 1st data: 14 	 | This is 2nd data: 23.791537375145268 	 end
This is the 1st data: 15 	 | This is 2nd data: 50.312686467819766 	 end
This is the 1st data: 16 	 | This is 2nd data: 19.668464469261714 	 end
This is the 1st data: 17 	 | This is 2nd data: 81.38401767040989 	 end
This is the 1st data: 18 	 | This is 2nd data: 57.343073252223654 	 end
This is the 1st data: 19 	 | This is 2nd data: 0.6706856346199608 	 end
This is the 1st data: 20 	 | This is 2nd data: 37.703828696594435 	 end
This is the 1st data: 21 	 | This is 2nd data: 76.38195086688363 	 end
This is the 1st data: 22 	 | This is 2nd data: 90.98004601725751 	 end
This is the 1st data: 23 	 | This is 2nd data: 88.43768781454504 	 end
This is the 1st data: 24 	 | This is 2nd data: 95.98678163423028 	 end
This is the 1st data: 25 	 | This is 2nd data: 45.85282564987103 	 end
This is the 1st data: 26 	 | This is 2nd data: 82.17898983017682 	 end
This is the 1st data: 27 	 | This is 2nd data: 0.40893829903817513 	 end
This is the 1st data: 28 	 | This is 2nd data: 29.015895600965735 	 end
This is the 1st data: 29 	 | This is 2nd data: 79.09741356041027 	 end
This is the 1st data: 30 	 | This is 2nd data: 61.11990784641793 	 end
This is the 1st data: 31 	 | This is 2nd data: 38.49607234864392 	 end
This is the 1st data: 32 	 | This is 2nd data: 36.065564774838144 	 end
This is the 1st data: 33 	 | This is 2nd data: 4.2497430802885265 	 end
This is the 1st data: 34 	 | This is 2nd data: 68.6608550544747 	 end
This is the 1st data: 35 	 | This is 2nd data: 67.96731399301491 	 end
This is the 1st data: 36 	 | This is 2nd data: 21.01645793865483 	 end
This is the 1st data: 37 	 | This is 2nd data: 87.16478402279843 	 end
This is the 1st data: 38 	 | This is 2nd data: 47.98477277393162 	 end
This is the 1st data: 39 	 | This is 2nd data: 70.3240214966074 	 end
This is the 1st data: 40 	 | This is 2nd data: 19.408837550821424 	 end
This is the 1st data: 41 	 | This is 2nd data: 60.39196614576772 	 end
This is the 1st data: 42 	 | This is 2nd data: 25.453825463480364 	 end
This is the 1st data: 43 	 | This is 2nd data: 49.33607115945511 	 end
This is the 1st data: 44 	 | This is 2nd data: 79.82334673692567 	 end
This is the 1st data: 45 	 | This is 2nd data: 32.200888704730446 	 end
This is the 1st data: 46 	 | This is 2nd data: 57.68738436976499 	 end
This is the 1st data: 47 	 | This is 2nd data: 74.2249449126221 	 end
This is the 1st data: 48 	 | This is 2nd data: 99.5341262185377 	 end
This is the 1st data: 49 	 | This is 2nd data: 7.5629767902464895 	 end
This is the 1st data: 50 	 | This is 2nd data: 60.00163158324347 	 end
This is the 1st data: 51 	 | This is 2nd data: 12.74168799364116 	 end
This is the 1st data: 52 	 | This is 2nd data: 63.89209401310427 	 end
This is the 1st data: 53 	 | This is 2nd data: 92.46399797977438 	 end
This is the 1st data: 54 	 | This is 2nd data: 12.257397380807312 	 end
This is the 1st data: 55 	 | This is 2nd data: 27.956291310682392 	 end
This is the 1st data: 56 	 | This is 2nd data: 89.05026057831353 	 end
This is the 1st data: 57 	 | This is 2nd data: 12.658940423532405 	 end
This is the 1st data: 58 	 | This is 2nd data: 39.66400087886542 	 end
This is the 1st data: 59 	 | This is 2nd data: 31.79951826620434 	 end
This is the 1st data: 60 	 | This is 2nd data: 30.672271649771197 	 end
This is the 1st data: 61 	 | This is 2nd data: 9.875286247747471 	 end
This is the 1st data: 62 	 | This is 2nd data: 74.25466495494594 	 end
This is the 1st data: 63 	 | This is 2nd data: 92.23200134686759 	 end
This is the 1st data: 64 	 | This is 2nd data: 75.99243036096097 	 end
This is the 1st data: 65 	 | This is 2nd data: 18.361872304537286 	 end
This is the 1st data: 66 	 | This is 2nd data: 35.1633330923381 	 end
This is the 1st data: 67 	 | This is 2nd data: 84.9548779165984 	 end
This is the 1st data: 68 	 | This is 2nd data: 79.02817951428732 	 end
This is the 1st data: 69 	 | This is 2nd data: 87.4448111377788 	 end
This is the 1st data: 70 	 | This is 2nd data: 10.061360710407419 	 end
This is the 1st data: 71 	 | This is 2nd data: 6.145985479499871 	 end
This is the 1st data: 72 	 | This is 2nd data: 85.39842116467183 	 end
This is the 1st data: 73 	 | This is 2nd data: 68.34395789112325 	 end
This is the 1st data: 74 	 | This is 2nd data: 90.90716405415424 	 end
This is the 1st data: 75 	 | This is 2nd data: 76.84699479454947 	 end
This is the 1st data: 76 	 | This is 2nd data: 53.09255330045236 	 end
This is the 1st data: 77 	 | This is 2nd data: 78.68542137484631 	 end
This is the 1st data: 78 	 | This is 2nd data: 92.84884416892251 	 end
This is the 1st data: 79 	 | This is 2nd data: 78.73333174720526 	 end
This is the 1st data: 80 	 | This is 2nd data: 79.8284654398535 	 end
This is the 1st data: 81 	 | This is 2nd data: 82.5982244677478 	 end
This is the 1st data: 82 	 | This is 2nd data: 40.40269355213226 	 end
This is the 1st data: 83 	 | This is 2nd data: 81.2529332933995 	 end
This is the 1st data: 84 	 | This is 2nd data: 42.32063268958175 	 end
This is the 1st data: 85 	 | This is 2nd data: 67.4325029180569 	 end
This is the 1st data: 86 	 | This is 2nd data: 87.39816959542021 	 end
This is the 1st data: 87 	 | This is 2nd data: 98.99990649437132 	 end
This is the 1st data: 88 	 | This is 2nd data: 92.05834575496932 	 end
This is the 1st data: 89 	 | This is 2nd data: 22.105670447887327 	 end
This is the 1st data: 90 	 | This is 2nd data: 52.54795975679409 	 end
This is the 1st data: 91 	 | This is 2nd data: 46.32288541583193 	 end
This is the 1st data: 92 	 | This is 2nd data: 5.76082012063126 	 end
This is the 1st data: 93 	 | This is 2nd data: 33.07162456829326 	 end
This is the 1st data: 94 	 | This is 2nd data: 82.82264148891011 	 end
This is the 1st data: 95 	 | This is 2nd data: 30.090706154274848 	 end
This is the 1st data: 96 	 | This is 2nd data: 75.87865707894743 	 end
This is the 1st data: 97 	 | This is 2nd data: 96.7660278847984 	 end
This is the 1st data: 98 	 | This is 2nd data: 91.98116054695205 	 end
This is the 1st data: 99 	 | This is 2nd data: 78.15186974940907 	 end
